sensor_id,time,humidity,sv,temperature
S023,2025-05-29 00:14:00,88.4,5.2,23.0
S023,2025-05-29 01:14:00,88.3,5.0,21.8
S023,2025-05-29 02:14:00,90.1,5.4,22.2
S023,2025-05-29 03:14:00,87.3,5.2,22.1
S023,2025-05-29 04:14:00,89.8,5.4,23.2
S023,2025-05-29 05:14:00,92.5,5.6,21.3
S023,2025-05-29 06:14:00,89.0,5.8,22.2
S023,2025-05-29 07:14:00,88.7,6.1,22.7
S023,2025-05-29 08:14:00,90.3,6.2,22.3
S023,2025-05-29 09:14:00,89.4,6.3,21.9
S023,2025-05-29 10:14:00,85.9,6.5,22.6
S023,2025-05-29 11:14:00,87.1,6.6,21.8
S023,2025-05-29 12:14:00,91.6,6.7,23.0
S023,2025-05-29 13:14:00,88.3,6.8,22.5
S023,2025-05-29 14:14:00,85.5,6.9,22.5
S023,2025-05-29 15:14:00,86.9,6.9,23.4
S023,2025-05-29 16:14:00,83.6,6.9,22.4
S023,2025-05-29 17:14:00,83.2,7.1,22.2
S023,2025-05-29 18:14:00,88.7,7.0,22.5
S023,2025-05-29 19:14:00,86.6,7.3,24.1
S023,2025-05-29 20:14:00,87.4,7.3,22.6
S023,2025-05-29 21:14:00,88.5,7.0,23.3
S023,2025-05-29 22:14:00,86.7,7.2,23.6
S023,2025-05-29 23:14:00,87.3,6.7,22.8
S023,2025-05-30 00:14:00,86.2,6.6,22.8
S023,2025-05-30 01:14:00,88.1,7.2,23.4
S023,2025-05-30 02:14:00,88.9,7.5,23.5
S023,2025-05-30 03:14:00,85.5,7.8,24.1
S023,2025-05-30 04:14:00,85.3,7.7,23.1
S023,2025-05-30 05:14:00,85.4,7.8,23.4
S023,2025-05-30 06:14:00,84.4,8.1,25.0
S023,2025-05-30 07:14:00,83.6,8.3,22.7
S023,2025-05-30 08:14:00,86.3,8.7,22.7
S023,2025-05-30 09:14:00,83.3,9.1,23.0
S023,2025-05-30 10:14:00,83.0,9.4,24.3
S023,2025-05-30 11:14:00,85.5,9.2,23.6
S023,2025-05-30 12:14:00,85.5,9.4,23.7
S023,2025-05-30 13:14:00,88.0,9.5,23.4
S023,2025-05-30 14:14:00,85.6,9.3,24.4
S023,2025-05-30 15:14:00,84.6,9.6,23.3
S023,2025-05-30 16:14:00,84.8,9.9,23.7
S023,2025-05-30 17:14:00,82.3,10.0,23.6
S023,2025-05-30 18:14:00,83.6,10.2,22.8
S023,2025-05-30 19:14:00,83.5,9.9,23.9
S023,2025-05-30 20:14:00,81.0,10.2,24.2
S023,2025-05-30 21:14:00,81.8,10.5,23.8
S023,2025-05-30 22:14:00,83.6,10.6,24.1
S023,2025-05-30 23:14:00,81.5,10.5,24.2
S023,2025-05-31 00:14:00,82.6,10.2,24.3
S023,2025-05-31 01:14:00,83.0,10.7,23.9
S023,2025-05-31 02:14:00,82.7,10.6,23.9
S023,2025-05-31 03:14:00,84.3,10.8,24.5
S023,2025-05-31 04:14:00,79.5,10.7,23.7
S023,2025-05-31 05:14:00,83.8,10.3,24.4
S023,2025-05-31 06:14:00,81.2,10.5,25.4
S023,2025-05-31 07:14:00,81.8,10.7,24.6
S023,2025-05-31 08:14:00,81.3,10.5,23.7
S023,2025-05-31 09:14:00,81.1,10.8,24.7
S023,2025-05-31 10:14:00,78.3,10.8,25.1
S023,2025-05-31 11:14:00,81.0,10.7,24.3
S023,2025-05-31 12:14:00,76.3,10.6,24.6
S023,2025-05-31 13:14:00,83.2,10.8,24.3
S023,2025-05-31 14:14:00,79.6,10.6,24.5
S023,2025-05-31 15:14:00,81.0,10.4,24.4
S023,2025-05-31 16:14:00,79.9,10.6,25.0
S023,2025-05-31 17:14:00,78.4,10.7,25.6
S023,2025-05-31 18:14:00,77.1,10.6,24.9
S023,2025-05-31 19:14:00,76.5,11.0,24.1
S023,2025-05-31 20:14:00,79.3,10.9,26.1
S023,2025-05-31 21:14:00,79.1,10.9,25.2
S023,2025-05-31 22:14:00,78.5,11.0,25.3
S023,2025-05-31 23:14:00,77.0,11.0,24.9
S023,2025-06-01 00:14:00,77.9,11.1,25.0
S023,2025-06-01 01:14:00,76.0,11.1,24.8
S023,2025-06-01 02:14:00,75.3,11.2,25.4
S023,2025-06-01 03:14:00,76.0,11.2,24.7
S023,2025-06-01 04:14:00,75.9,11.6,25.2
S023,2025-06-01 05:14:00,79.1,11.6,25.5
S023,2025-06-01 06:14:00,73.3,11.8,25.6
S023,2025-06-01 07:14:00,75.7,12.0,25.5
S023,2025-06-01 08:14:00,76.9,12.1,24.5
S023,2025-06-01 09:14:00,79.4,12.4,25.8
S023,2025-06-01 10:14:00,74.1,12.3,25.3
S023,2025-06-01 11:14:00,72.9,12.5,25.2
S023,2025-06-01 12:14:00,76.4,12.6,25.2
S023,2025-06-01 13:14:00,75.1,12.5,24.9
S023,2025-06-01 14:14:00,74.1,12.7,24.8
S023,2025-06-01 15:14:00,75.2,12.7,24.8
S023,2025-06-01 16:14:00,75.9,12.9,25.6
